driver,driver_number,lap,lap_time,sector1,sector2,sector3,tyre,tyre_life,fresh_tyre,stint,position,pit_in,pit_out,speed_i1,speed_i2,speed_fl,speed_st,is_personal_best
VER,1,49.0,74.261,19.233,35.294,19.734,MEDIUM,21.0,True,2.0,2.0,,,210.0,200.0,259.0,280.0,False
VER,1,50.0,74.426,19.4,35.341,19.685,MEDIUM,22.0,True,2.0,1.0,,,209.0,201.0,259.0,282.0,False
VER,1,51.0,75.165,19.475,35.782,19.908,MEDIUM,23.0,True,2.0,1.0,,,208.0,197.0,259.0,282.0,False
VER,1,52.0,76.328,19.804,36.13,20.394,MEDIUM,24.0,True,2.0,1.0,,,205.0,195.0,266.0,282.0,False
VER,1,53.0,77.547,19.853,37.06,20.634,MEDIUM,25.0,True,2.0,1.0,,,199.0,186.0,266.0,281.0,False
VER,1,54.0,75.872,19.944,36.007,19.921,MEDIUM,26.0,True,2.0,1.0,,,204.0,197.0,257.0,275.0,False
VER,1,55.0,75.62,19.683,36.003,19.934,MEDIUM,27.0,True,2.0,1.0,,,209.0,197.0,256.0,274.0,False
VER,1,56.0,75.33,19.636,35.81,19.884,MEDIUM,28.0,True,2.0,1.0,,,206.0,199.0,256.0,273.0,False
VER,1,57.0,75.418,19.747,35.825,19.846,MEDIUM,29.0,True,2.0,1.0,,,210.0,200.0,257.0,273.0,False
VER,1,58.0,75.247,19.544,35.89,19.813,MEDIUM,30.0,True,2.0,1.0,,,208.0,199.0,258.0,274.0,False
VER,1,59.0,75.35,19.588,35.921,19.841,MEDIUM,31.0,True,2.0,1.0,,,208.0,199.0,258.0,274.0,False
VER,1,60.0,75.088,19.61,35.657,19.821,MEDIUM,32.0,True,2.0,1.0,,,208.0,200.0,258.0,275.0,False
VER,1,61.0,75.064,19.641,35.644,19.779,MEDIUM,33.0,True,2.0,1.0,,,209.0,200.0,258.0,275.0,False
VER,1,62.0,75.13,19.451,35.86,19.819,MEDIUM,34.0,True,2.0,1.0,,,211.0,200.0,258.0,275.0,False
VER,1,63.0,75.088,19.516,35.85,19.722,MEDIUM,35.0,True,2.0,1.0,,,207.0,201.0,259.0,275.0,False
VER,1,64.0,75.24,19.466,36.021,19.753,MEDIUM,36.0,True,2.0,1.0,,,208.0,201.0,258.0,275.0,False
VER,1,65.0,75.122,19.503,35.887,19.732,MEDIUM,37.0,True,2.0,1.0,,,210.0,199.0,259.0,275.0,False
VER,1,66.0,75.214,19.485,35.975,19.754,MEDIUM,38.0,True,2.0,1.0,,,205.0,198.0,258.0,277.0,False
VER,1,67.0,75.551,19.662,35.956,19.933,MEDIUM,39.0,True,2.0,1.0,,,203.0,199.0,259.0,277.0,False
VER,1,68.0,76.273,19.739,36.508,20.026,MEDIUM,40.0,True,2.0,1.0,,,205.0,198.0,259.0,279.0,False
VER,1,69.0,76.063,19.746,36.449,19.868,MEDIUM,41.0,True,2.0,1.0,,,203.0,198.0,260.0,279.0,False
VER,1,70.0,75.812,19.745,36.327,19.74,MEDIUM,42.0,True,2.0,1.0,,,203.0,198.0,260.0,280.0,False
VER,1,71.0,76.058,19.778,36.396,19.884,MEDIUM,43.0,True,2.0,1.0,,,201.0,195.0,260.0,280.0,False
VER,1,72.0,76.072,19.879,36.242,19.951,MEDIUM,44.0,True,2.0,1.0,,,203.0,195.0,259.0,280.0,False
VER,1,73.0,76.221,19.818,36.413,19.99,MEDIUM,45.0,True,2.0,1.0,,,201.0,199.0,260.0,281.0,False
VER,1,74.0,76.349,20.007,36.387,19.955,MEDIUM,46.0,True,2.0,1.0,,,204.0,198.0,259.0,281.0,False
VER,1,75.0,76.344,19.87,36.434,20.04,MEDIUM,47.0,True,2.0,1.0,,,204.0,196.0,259.0,280.0,False
VER,1,76.0,76.468,19.865,36.47,20.133,MEDIUM,48.0,True,2.0,1.0,,,206.0,200.0,260.0,280.0,False
VER,1,77.0,93.332,19.91,36.656,36.766,MEDIUM,49.0,True,2.0,4.0,9322.869,,202.0,194.0,,281.0,False
VER,1,78.0,77.77,22.061,35.599,20.11,SOFT,4.0,False,3.0,4.0,,9346.459,189.0,195.0,226.0,280.0,False
GAS,10,1.0,112.223,,40.955,39.268,MEDIUM,7.0,False,1.0,18.0,3457.624,,158.0,180.0,,279.0,False
GAS,10,2.0,108.974,31.384,48.802,28.788,MEDIUM,1.0,True,2.0,18.0,,3481.973,150.0,103.0,166.0,249.0,False
GAS,10,3.0,108.723,30.81,48.939,28.974,MEDIUM,2.0,True,2.0,18.0,,,163.0,143.0,238.0,256.0,True
GAS,10,4.0,91.509,31.667,39.044,20.798,MEDIUM,3.0,True,2.0,18.0,,,150.0,186.0,262.0,277.0,True
GAS,10,5.0,78.864,21.094,37.068,20.702,MEDIUM,4.0,True,2.0,18.0,,,189.0,184.0,263.0,280.0,True
GAS,10,6.0,78.054,20.587,36.799,20.668,MEDIUM,5.0,True,2.0,18.0,,,185.0,187.0,264.0,282.0,True
GAS,10,7.0,79.262,20.844,37.141,21.277,MEDIUM,6.0,True,2.0,18.0,,,192.0,183.0,264.0,282.0,False
ANT,12,1.0,94.721,,40.866,22.426,HARD,1.0,True,1.0,14.0,,,156.0,176.0,255.0,279.0,False
ANT,12,2.0,111.408,39.052,48.171,24.185,HARD,2.0,True,1.0,14.0,,,60.0,177.0,122.0,257.0,True
ANT,12,3.0,108.871,31.739,47.91,29.222,HARD,3.0,True,1.0,14.0,,,113.0,150.0,154.0,235.0,True
ANT,12,4.0,96.575,30.84,44.027,21.708,HARD,4.0,True,1.0,14.0,,,83.0,178.0,263.0,258.0,True
ANT,12,5.0,80.377,21.314,37.578,21.485,HARD,5.0,True,1.0,14.0,,,178.0,181.0,264.0,277.0,True
ANT,12,6.0,80.757,21.476,37.739,21.542,HARD,6.0,True,1.0,14.0,,,172.0,180.0,266.0,269.0,False
ANT,12,7.0,81.194,21.573,37.746,21.875,HARD,7.0,True,1.0,14.0,,,169.0,180.0,266.0,275.0,False
ANT,12,8.0,80.877,21.393,37.795,21.689,HARD,8.0,True,1.0,14.0,,,178.0,178.0,258.0,278.0,False
ANT,12,9.0,83.326,20.97,40.05,22.306,HARD,9.0,True,1.0,14.0,,,181.0,170.0,262.0,261.0,False
